Viveknagar,29.790123,76.39879,266,0,466,17,705,66,379,1899,3152,455,398,265,27,27,27,284,27,27,27,27,303
Whitefield,12.976871,77.727551,43,25,136,10,28,0,503,745,5739,178,156,104,11,11,11,111,11,11,11,11,119
Yelahanka,13.099632,77.597532,48,0,74,4,74,1,9,210,2784,50,43,29,3,3,3,31,3,3,3,3,33
Yelahanka Satellite Town,13.100148,77.580149,17,0,62,0,25,2,30,136,4061,32,28,18,2,2,2,20,2,2,2,2,21
Bangalore,12.974002,77.613458,6,3,72,0,85,20,12,198,6118,47,41,27,3,3,3,29,3,3,3,3,31
Adugodi,12.943582,77.607899,2,0,3,0,0,0,0,5,6319,1,0,0,0,0,0,0,0,0,0,0,0
Agara,12.61946,77.479462,1,1,40,3,3,2,20,70,1047,16,14,9,1,1,1,10,1,1,1,1,11
Anjanapura,12.987687,77.487935,158,5,105,29,255,9,380,941,955,225,197,131,13,13,13,141,13,13,13,13,150
Ashoknagar,24.577289,77.731931,4,0,2,0,1,0,0,7,5775,1,1,0,0,0,0,1,0,0,0,0,0
B Sk II Stage,27.329037,88.612444,10,0,60,0,32,0,163,265,2841,63,55,36,4,4,4,39,4,4,4,4,42
Banashankari III Stage,12.942231,77.548525,17,1,70,10,67,1,43,209,2881,49,43,29,3,3,3,31,3,3,3,3,33
Banashankari,15.879084,74.539064,15,0,32,13,106,1,57,224,5629,53,46,31,3,3,3,33,3,3,3,3,35
Bangalore Corporation Building,12.974818,77.574978,181,0,170,5,508,28,211,1103,6318,264,231,154,16,16,16,165,16,16,16,16,176
Bannerghatta Road,12.809378,77.588705,2199,46,4301,122,5367,1492,3521,17048,4108,4091,3579,2386,244,244,244,2557,244,244,244,244,2727
Bannerghatta,12.813511,77.578409,20,0,57,17,107,2,27,230,4646,55,48,32,3,3,3,34,3,3,3,3,36
Basavanagudi,13.944898,75.577069,17,0,25,3,16,0,36,97,5030,22,19,13,2,2,2,14,2,2,2,2,15
Begur,12.877455,77.625702,503,3,1569,12,1164,73,4133,7457,4042,1789,1565,1043,107,107,107,1118,107,107,107,107,1192
Bnagalore Viswavidalaya,12.887738,77.64119,28,0,35,0,35,0,48,146,4727,34,30,20,2,2,2,21,2,2,2,2,23
Bolare,12.779763,76.920774,1070,105,2336,243,1886,90,3525,9255,3222,2221,1943,1295,132,132,132,1388,132,132,132,132,1480
Bommanahalli,12.903821,77.625191,5,1,32,7,19,4,13,81,1580,19,16,11,1,1,1,12,1,1,1,1,12
Bommasandra Industrial Estate,12.817049,77.690203,46,12,128,4,96,4,78,368,5765,88,76,51,5,5,5,55,5,5,5,5,58
Carmelram,12.907547,77.695532,91,0,112,19,184,33,112,551,3696,132,115,76,8,8,8,82,8,8,8,8,88
Chamrajpet,12.942551,78.272902,26,7,7,2,22,0,46,110,3092,26,22,15,2,2,2,16,2,2,2,2,17
Chandapura,12.106462,75.291718,421,29,1335,65,1163,20,1900,4933,2107,1183,1035,690,71,71,71,739,71,71,71,71,789
Chandapura,12.106462,75.291718,0,0,8,0,26,7,3,44,3284,10,9,6,1,1,1,6,1,1,1,1,6
Chickpet,14.224829,76.397974,0,0,0,0,0,0,0,0,4532,0,0,0,0,0,0,0,0,0,0,0,0
